mmcode,source,date_created,maxdtcreated,mindtcreated,velocity,url,description,year,mileage,price,max_price,min_price,difference_price,recency,RefreshDate,match,dealer
35047420,cars,2018-07-21 03:43:39,2018-09-02 04:16:06,2018-06-23 06:18:36,70,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Gauteng-Pretoria/3558720,Land Rover Discovery 4 3.0 Tdv6 Se,2009,103299,299900.00,299900.00,299900.00,0,0,2018-09-03,1,"Sunward Motors(Pretoria, Gauteng)"
35047420,cars,2018-07-22 04:32:25,2018-09-02 04:20:19,2018-03-15 04:20:52,170,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Gauteng-Johannesburg/3182933,Land Rover Discovery 4 3.0 Tdv6 Se ,2009,105000,329950.00,329950.00,329950.00,0,0,2018-09-03,1,"Bruma Nissan(Johannesburg, Gauteng)"
35047420,cars,2018-03-07 05:41:02,2018-03-29 05:22:24,2018-03-07 05:41:02,21,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Kwazulu-Natal-Durban/3146909,Land Rover Discovery 4 3.0 Tdv6 Se,2009,109000,289990.00,289990.00,269990.00,20000,5,2018-09-03,1,"Mystic Cars(Durban, Kwazulu Natal)"
35047420,cars,2017-10-19 03:21:27,2017-12-07 04:53:11,2017-10-19 03:21:27,49,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Western-Cape-Bellville/2656818,Land Rover Discovery 4 3.0 Tdv6 Se ,2009,117000,289990.00,289990.00,289990.00,0,8,2018-09-03,1,"Excellent Cars(Bellville, Western Cape)"
35047420,cars,2016-10-03 00:00:00,2016-10-03 00:00:00,2016-10-03 00:00:00,0,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Gauteng-Randburg/1516579,Land Rover Discovery 4 3.0 Tdv6 Se,2009,118000,289900.00,289900.00,289900.00,0,23,2018-09-03,1,E-Motion Cars
35047420,cars,2017-06-24 06:22:30,2017-07-26 10:19:01,2017-06-24 06:22:30,32,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Western-Cape-Strand/2251558,Land Rover Discovery 4 3.0 Tdv6 Se,2009,123000,299000.00,299000.00,299000.00,0,13,2018-09-03,1,
35047420,cars,2018-07-22 04:25:17,2018-09-02 04:13:36,2018-07-12 02:10:07,52,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Gauteng-Springs/3633920,Land Rover Discovery 4 3.0 Tdv6 Se ,2009,126000,279990.00,279990.00,279990.00,0,0,2018-09-03,1,"Mugello Auto(Springs, Gauteng)"
35047420,cars,2016-10-28 00:00:00,2017-01-25 00:00:00,2016-10-28 00:00:00,89,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Western-Cape-Parow/1694882,Land Rover Discovery 4 3.0 Tdv6 Se,2009,127000,359995.00,359995.00,339995.00,20000,19,2018-09-03,1,Motorworld
35047420,cars,2016-10-14 00:00:00,2016-10-18 00:00:00,2016-10-14 00:00:00,4,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Gauteng-Pretoria/1520770,Land Rover Discovery 4 3.0 Tdv6 Se,2009,134935,329900.00,329900.00,319900.00,10000,22,2018-09-03,1,Gys Pitzer Motors
35047420,cars,2016-09-28 00:00:00,2016-10-03 00:00:00,2016-09-28 00:00:00,5,http://www.cars.co.za/for-sale/used/2009-Land-Rover-Discovery-4-3.0-Tdv6-Se-Gauteng-Pretoria/1530690,Land Rover Discovery 4 3.0 Tdv6 Se,2009,134935,329900.00,329900.00,329900.00,0,23,2018-09-03,1,Gys Pitzer Motors
