"mmcode","make","variant","regyear"
"125250","AC","F16 1.6","2014"
"125250","AC","F16 1.6","2014"
"125250","AC","F16 1.6","2015"
"125250","AC","F16 1.6","2016"
"125250","AC","F16 1.6","2017"
"125250","AC","F16 1.6","2018"
"815150","ABARTH","ABARTH 500 1.4 3DR","2011"
"815150","ABARTH","ABARTH 500 1.4 3DR","2011"
"815150","ABARTH","ABARTH 500 1.4 3DR","2012"
"815150","ABARTH","ABARTH 500 1.4 3DR","2013"
"815150","ABARTH","ABARTH 500 1.4 3DR","2014"
"815150","ABARTH","ABARTH 500 1.4 3DR","2015"
"815151","ABARTH","ABARTH 500 1.4T (595)","2015"
"815151","ABARTH","ABARTH 500 1.4T (595)","2016"
"815151","ABARTH","ABARTH 500 1.4T (595)","2017"
"815152","ABARTH","ABARTH 595 1.4T","2016"
"815152","ABARTH","ABARTH 595 1.4T","2017"
"815152","ABARTH","ABARTH 595 1.4T","2018"
"815160","ABARTH","ABARTH 595 1.4T TURISMO","2016"
"815160","ABARTH","ABARTH 595 1.4T TURISMO","2017"
"815160","ABARTH","ABARTH 595 1.4T TURISMO","2018"
"815170","ABARTH","ABARTH 595 1.4T COMPETZIONE","2016"
"815170","ABARTH","ABARTH 595 1.4T COMPETZIONE","2017"
"815170","ABARTH","ABARTH 595 1.4T COMPETZIONE","2018"
"815180","ABARTH","ABARTH 500 1.4 CABRIOLET","2012"
"815180","ABARTH","ABARTH 500 1.4 CABRIOLET","2013"
"815180","ABARTH","ABARTH 500 1.4 CABRIOLET","2015"
"815181","ABARTH","ABARTH 500 1.4T CABRIOLET (595)","2015"
"815181","ABARTH","ABARTH 500 1.4T CABRIOLET (595)","2015"
"815181","ABARTH","ABARTH 500 1.4T CABRIOLET (595)","2016"
"815181","ABARTH","ABARTH 500 1.4T CABRIOLET (595)","2017"
"815182","ABARTH","ABARTH 595 1.4T CABRIOLET","2016"
"815182","ABARTH","ABARTH 595 1.4T CABRIOLET","2017"
"815190","ABARTH","ABARTH 595 1.4T TURISMO CABRIOLET","2016"
"815190","ABARTH","ABARTH 595 1.4T TURISMO CABRIOLET","2017"
"815190","ABARTH","ABARTH 595 1.4T TURISMO CABRIOLET","2017"
"815190","ABARTH","ABARTH 595 1.4T TURISMO CABRIOLET","2018"
"815200","ABARTH","ABARTH 595 1.4T COMPETZIONE CABRIOLET","2017"
"815200","ABARTH","ABARTH 595 1.4T COMPETZIONE CABRIOLET","2017"
"815200","ABARTH","ABARTH 595 1.4T COMPETZIONE CABRIOLET","2018"
"815300","ABARTH","ABARTH 695 1.4 TRIBUTO FERRARI 3DR","2012"
"815300","ABARTH","ABARTH 695 1.4 TRIBUTO FERRARI 3DR","2013"
"815300","ABARTH","ABARTH 695 1.4 TRIBUTO FERRARI 3DR","2014"
"815300","ABARTH","ABARTH 695 1.4 TRIBUTO FERRARI 3DR","2015"
"815300","ABARTH","ABARTH 695 1.4 TRIBUTO FERRARI 3DR","2016"
"815320","ABARTH","ABARTH 695 1.4 BIPOSTO 3DR","2016"
"815320","ABARTH","ABARTH 695 1.4 BIPOSTO 3DR","2017"
"815320","ABARTH","ABARTH 695 1.4 BIPOSTO 3DR","2018"
"817380","ABARTH","PUNTO SCORPIONE","2013"
"817380","ABARTH","PUNTO SCORPIONE","2014"
"820150","ABARTH","ABARTH 124 1.4T SPIDER","2017"
"820150","ABARTH","ABARTH 124 1.4T SPIDER","2018"
"820200","ABARTH","ABARTH 124 1.4T SPIDER TURISMO","2016"
"820200","ABARTH","ABARTH 124 1.4T SPIDER TURISMO","2017"
"820200","ABARTH","ABARTH 124 1.4T SPIDER TURISMO","2018"
"2010400","ALFA ROMEO","33 GOLD","1983"
"2010400","ALFA ROMEO","33 GOLD","1983"
"2010400","ALFA ROMEO","33 GOLD","1984"
"2010400","ALFA ROMEO","33 GOLD","1985"
"2010600","ALFA ROMEO","ALFASUD 1500 SPRINT III","1983"
"2010600","ALFA ROMEO","ALFASUD 1500 SPRINT III","1984"
"2010600","ALFA ROMEO","ALFASUD 1500 SPRINT III","1985"
"2010800","ALFA ROMEO","ALFA 33 T.I.","1984"
"2010800","ALFA ROMEO","ALFA 33 T.I.","1985"
"2040143","ALFA ROMEO","GIULIETTA 1800","1980"
"2040143","ALFA ROMEO","GIULIETTA 1800","1981"
"2040143","ALFA ROMEO","GIULIETTA 1800","1982"
"2040286","ALFA ROMEO","GIULIETTA LUSSO","1982"
"2040286","ALFA ROMEO","GIULIETTA LUSSO","1983"
"2040286","ALFA ROMEO","GIULIETTA LUSSO","1984"
"2040286","ALFA ROMEO","GIULIETTA LUSSO","1985"
"2040429","ALFA ROMEO","GIULIETTA GROUP 1","1982"
"2040429","ALFA ROMEO","GIULIETTA GROUP 1","1983"
"2040429","ALFA ROMEO","GIULIETTA GROUP 1","1984"
"2040572","ALFA ROMEO","GIULIETA 2000 TI","1982"
"2040572","ALFA ROMEO","GIULIETA 2000 TI","1983"
"2040572","ALFA ROMEO","GIULIETA 2000 TI","1984"
"2040572","ALFA ROMEO","GIULIETA 2000 TI","1985"
"2040714","ALFA ROMEO","159i SILVER","1984"
"2040857","ALFA ROMEO","159i GOLD","1984"
"2040857","ALFA ROMEO","159i GOLD","1985"
"2045100","ALFA ROMEO","GIULIETTA 1.4T PROGRESSION 5Dr","2010"
"2045100","ALFA ROMEO","GIULIETTA 1.4T PROGRESSION 5Dr","2011"
"2045100","ALFA ROMEO","GIULIETTA 1.4T PROGRESSION 5Dr","2012"
"2045100","ALFA ROMEO","GIULIETTA 1.4T PROGRESSION 5Dr","2013"
"2045100","ALFA ROMEO","GIULIETTA 1.4T PROGRESSION 5Dr","2014"
"2045100","ALFA ROMEO","GIULIETTA 1.4T PROGRESSION 5Dr","2015"
"2045100","ALFA ROMEO","GIULIETTA 1.4T PROGRESSION 5Dr","2016"
"2045101","ALFA ROMEO","GIULIETTA 1.4T 5Dr","2016"
"2045101","ALFA ROMEO","GIULIETTA 1.4T 5Dr","2017"
"2045101","ALFA ROMEO","GIULIETTA 1.4T 5Dr","2018"
"2045110","ALFA ROMEO","GIULIETTA 1.4T DISTINCTIVE 5Dr","2010"
"2045110","ALFA ROMEO","GIULIETTA 1.4T DISTINCTIVE 5Dr","2011"
"2045110","ALFA ROMEO","GIULIETTA 1.4T DISTINCTIVE 5Dr","2012"
"2045110","ALFA ROMEO","GIULIETTA 1.4T DISTINCTIVE 5Dr","2013"
